Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2.3339212	2.9011397	15.687339	0.008026242	-7.3735366	7.455049	-0.47617018	-24.521393	15.618421	38.41737	186.0	0.0	1.4	2.8354893	8.0	0.0	394.42105	1000.0	0.118421055	0.1	1187.0	0.019783333333333333	30001.0	-60.125847	48.62633	25.47516	-279.26773	-60.09337	48.665806	26.45989	-274.77234	0.7492885	2.2782807	30.025263	-5.3180666	0.574294	2.6200724	45.87211	-11.82567	143.21811	7.894302	8.02581	0.0712741	1.4257057	0.0	1.0	-0.94626534	2.4370983	109.43831	-0.5742944	8.174265	114.08718	114.53852891921997
2	2.374829	1.8004185	7.0733166	0.014607199	0.037834484	0.7592461	1.8943934	-0.7990755	20.093023	55.018734	228.0	0.0	0.0	0.0	0.0	0.0	687.6977	1000.0	0.13953489	0.1	2051.0	0.02278888888888889	60001.0	43.227016	27.98928	95.30409	-151.9037	43.22721	27.988388	95.22189	-151.62715	0.8006846	1.986403	54.27232	-4.0452275	-1.2423884	0.5399751	6.1840663	-8.139875	-40.148643	2.2595587	2.2857711	0.04776055	3.2423882	0.0	1.0	0.008485879	0.8862577	3.7121642	1.2423884	8.021036	105.773384	220.30624747276306
3	2.5326505	0.9934553	6.2151027	0.1926393	-0.38522252	0.90803653	1.264303	-1.9776404	27.4375	88.495384	479.0	0.0	2.8	8.400001	28.0	0.0	933.625	1000.0	0.03125	0.0	2929.0	0.024408333333333334	90001.0	83.8359	13.328157	115.57035	1.4429486	83.83645	13.321374	115.45992	-0.6170465	0.7957342	2.7001173	62.635815	-4.777773	-1.194047	0.6377717	8.212245	-8.200609	-78.24715	2.8814013	2.9148242	0.07097128	3.1940475	0.0	1.0	0.029293934	1.2134385	5.613369	1.1940475	8.01544	103.05369	323.3604280948639
4	3.087181	1.6939309	6.9760933	0.32645655	-0.10369822	1.2241261	2.131922	-2.0663412	26.970589	78.013	377.0	0.0	1.0	3.0	10.0	0.0	890.1177	1000.0	0.2647059	0.1	3846.0	0.02564	120001.0	91.39782	13.497028	118.494316	-7.8930984	91.39802	13.4917	118.56106	-10.68982	0.8028663	2.6616056	49.563484	-5.667706	-1.2074051	0.6240167	8.654058	-8.148436	-84.42696	2.657553	2.7029016	0.07163593	3.2074049	0.0	1.0	-2.4702453e-05	1.8987252	7.3319225	1.207405	10.975067	103.16287	426.5243937969208
5	2.4060202	1.2467362	5.8614163	0.0360333	-0.113126	0.8949018	1.7359142	-1.9525458	36.25	122.29662	601.0	0.0	9.3	27.900002	93.0	0.0	827.4167	1000.0	0.083333336	0.1	5151.0	0.028616666666666665	150001.0	95.12471	13.604425	121.71076	-125.99565	95.12506	13.599471	121.39568	-123.60803	0.7988468	2.8695111	60.843754	-7.8106513	-1.2043024	0.6467731	10.285086	-8.843319	-87.265884	2.740475	2.781487	0.07209658	3.2043025	0.0	1.0	0.014289917	1.8672024	8.154394	1.2043025	10.991327	103.96814	530.4931900501251
6	2.8535326	1.0015893	5.056368	0.63327765	-0.3090079	0.416783	0.57513434	-0.84018594	16.375	54.49871	258.0	0.0	49.7	149.1	497.0	0.0	926.40625	1000.0	0.125	0.0	5675.0	0.027023809523809523	180001.0	97.46085	14.029571	123.72133	-163.21248	97.46131	14.025477	125.401566	-159.8045	0.8005583	2.554061	43.543068	-5.7597637	-1.2216002	0.6069713	10.770658	-8.304347	-91.457825	2.537471	2.5797443	0.06877306	3.2216005	0.0	1.0	0.011249883	1.5143025	6.452689	1.2216004	11.021447	102.95	633.443843126297
7	2.6990304	1.2138064	5.5080256	0.09499003	-0.26864594	0.4754585	0.58161193	-0.94541824	8.029411	41.521423	245.0	0.0	2.7	5.4415073	15.0	0.0	889.58826	1000.0	0.11764706	0.0	5948.0	0.024783333333333334	210001.0	103.40139	12.476379	128.96733	-82.208176	103.40168	12.472837	128.20984	-79.33409	0.79791874	2.8103716	49.7047	-6.621116	-1.2521838	0.5390313	10.622211	-7.693236	-98.54682	2.2345986	2.2586668	0.07679953	3.252184	0.0	1.0	0.023432732	1.1999125	4.504051	1.2521838	11.032664	103.305885	736.7478575706482
8	3.2090018	1.3275989	6.1647744	0.57567674	-0.30042133	0.5000846	0.7457607	-1.0074179	39.3125	92.35341	392.0	0.0	3.4	7.158212	22.0	0.0	949.28125	1000.0	0.15625	0.1	7206.0	0.02668888888888889	240001.0	106.88185	11.853895	133.87991	-37.495422	106.88212	11.850351	134.43524	-47.280468	0.79564005	2.6348875	62.91121	-7.7008767	-1.2610677	0.53245825	9.142236	-7.362729	-102.45021	2.20726	2.2334194	0.07039843	3.2610676	0.0	1.0	0.015590165	0.4281263	4.40375	1.261068	8.120615	99.92049	836.6708254814148
9	2.8451374	1.4570245	6.1838017	0.10377311	-0.24057443	0.3802125	0.44870168	-0.8445869	70.37143	158.57329	750.0	0.0	96.9	285.40652	953.0	0.0	855.0571	1000.0	0.114285715	0.0	9669.0	0.03223	270001.0	102.296	14.538803	137.9178	-109.91252	102.296524	14.5344095	137.02235	-109.90339	0.8004292	1.9304794	57.342953	-7.840793	-1.1131443	0.8045266	12.375495	-11.08216	-86.95557	2.2904482	2.3280385	0.050446793	3.1131442	0.0	1.0	0.006676865	2.7491658	19.506643	1.1131443	8.011868	103.761086	940.4311728477478
10	3.2648633	1.5660299	6.927157	0.15274878	-0.094877444	0.50130254	0.9418461	-0.66561073	117.542854	191.35985	740.0	0.0	77.3	202.72003	684.0	0.0	849.6	1000.0	0.22857143	0.1	13783.0	0.04176666666666667	300001.0	88.010086	18.162231	132.06311	-150.165	88.010666	18.157455	131.53452	-151.66791	0.8009554	2.3942282	40.368404	-9.63459	-1.0256789	0.9158672	12.471538	-9.208565	-71.269844	2.339036	2.3923202	0.067464314	3.0256786	0.0	1.0	0.0073909885	2.921276	20.535606	1.0256788	8.077272	104.25888	1044.6912353038788
